time,open,high,low,close,volume
1750640400,3390.63,3397.13,3380.31,3383.47,1454
1750640700,3383.47,3388.99,3380.78,3381.11,1046
1750641000,3381.11,3381.36,3375.27,3379.86,1233
1750641300,3379.86,3381.84,3378.6,3381.84,688
1750641600,3381.84,3386.05,3381.51,3382.41,974
1750641900,3382.41,3382.92,3375.63,3375.75,996
1750642200,3375.68,3378.19,3372.44,3376.46,1024
1750642500,3376.45,3376.86,3374.25,3376.63,749
1750642800,3376.63,3380.14,3376.47,3379.71,606
1750643100,3379.41,3381.19,3378.36,3380.22,430
1750643400,3380.22,3384.18,3378.67,3384.13,518
1750643700,3384.13,3384.67,3378.28,3379.08,616
1750644000,3379.08,3380.53,3373.48,3374.42,771
1750644300,3374.41,3375.86,3372.42,3375.38,677
1750644600,3375.38,3377.31,3374.4,3376.01,530
1750644900,3376.01,3377.15,3374.84,3375.45,371
1750645200,3375.45,3375.82,3373.18,3374.72,364
1750645500,3374.79,3376.34,3374.76,3375.1,262
1750645800,3375.07,3377.13,3374.73,3375.82,359
1750646100,3375.91,3377.9,3375.86,3377.78,263
1750646400,3377.78,3378.44,3376.59,3376.86,464
1750646700,3376.86,3376.9,3371.2,3372.36,537
1750647000,3372.36,3374.97,3371.88,3374.83,502
1750647300,3374.83,3374.83,3372.59,3372.77,524
1750647600,3372.9,3373.57,3369.45,3370.34,917
1750647900,3370.34,3372.42,3367.98,3368.12,844
1750648200,3368.16,3370.32,3366.83,3368.28,872
1750648500,3368.36,3369.16,3366.03,3366.03,591
1750648800,3366.03,3366.82,3364.44,3365.11,773
1750649100,3365.11,3365.45,3362.23,3362.74,641
1750649400,3362.74,3364.64,3361.82,3364.64,599
1750649700,3364.61,3365.67,3360.69,3361.35,1070
1750650000,3361.44,3366.09,3358.65,3364.98,1147
1750650300,3364.9,3366.84,3363.26,3364.05,604
1750650600,3364.05,3366.29,3363.15,3364.73,578
1750650900,3364.73,3365.72,3363.86,3365.61,567
1750651200,3365.61,3367.7,3361.92,3366.71,1511
1750651500,3366.71,3368.06,3363.81,3364.13,1207
1750651800,3364.13,3366.17,3363.24,3365.71,826
1750652100,3365.71,3366.01,3361.38,3361.86,875
1750652400,3361.86,3361.93,3354.66,3356.08,1111
1750652700,3356.08,3356.27,3351.96,3353.44,1090
1750653000,3353.45,3356.08,3352.76,3354.7,836
1750653300,3354.7,3357.11,3353.63,3356.84,837
1750653600,3356.84,3359.02,3356.79,3358.02,765
1750653900,3358.08,3358.08,3355.38,3356.68,788
1750654200,3356.66,3356.99,3355.17,3356.35,671
1750654500,3356.35,3356.51,3354.46,3355.21,727
1750654800,3355.22,3358.77,3354.74,3358.13,798
1750655100,3358.14,3360.69,3358.13,3360.13,626
1750655400,3360.22,3363.67,3359.97,3362.98,881
1750655700,3362.98,3364.2,3362.62,3363.76,611
1750656000,3363.76,3364.43,3362.29,3362.64,519
1750656300,3362.62,3364.83,3362.33,3363.28,374
1750656600,3363.36,3363.66,3362.18,3362.94,559
1750656900,3362.94,3364.33,3362.23,3362.81,523
1750657200,3362.81,3363.44,3361.23,3362.78,715
1750657500,3362.78,3362.95,3361.61,3362.03,511
1750657800,3362.03,3362.8,3361.19,3361.96,543
1750658100,3362.02,3362.38,3360.61,3361.48,679
1750658400,3361.48,3362.07,3360.36,3362.07,501
1750658700,3362.06,3366.13,3361.96,3365.29,758
1750659000,3365.18,3366.31,3363.5,3363.63,617
1750659300,3363.63,3365.27,3363.18,3364.84,585
1750659600,3364.84,3366.11,3363.99,3364.08,446
1750659900,3364.08,3364.08,3361.49,3361.81,527
1750660200,3361.81,3363.58,3361.17,3363.2,670
1750660500,3363.2,3364.75,3363.2,3363.46,377
1750660800,3363.45,3363.52,3362.16,3362.39,519
1750661100,3362.39,3363.99,3362.22,3363.87,403
1750661400,3363.87,3364.4,3363.65,3364.15,297
1750661700,3364.15,3364.35,3362.81,3363.36,406
1750662000,3363.36,3364.81,3363.35,3363.46,279
1750662300,3363.46,3364.97,3361.35,3362.4,531
1750662600,3362.4,3362.67,3361.7,3361.73,289
1750662900,3361.73,3362.23,3361.35,3362.08,283
1750663200,3362.08,3362.28,3358.25,3359.2,358
1750663500,3359.2,3361.04,3359.18,3359.86,392
1750663800,3359.86,3361.01,3359.76,3360.26,269
1750664100,3360.26,3360.37,3359.0,3359.33,297
1750664400,3359.33,3359.38,3356.82,3357.74,462
1750664700,3357.73,3358.27,3357.36,3358.04,368
1750665000,3358.04,3358.64,3357.74,3358.64,271
1750665300,3358.64,3359.05,3358.26,3358.49,253
1750665600,3358.49,3360.59,3358.49,3359.37,437
1750665900,3359.37,3360.44,3358.13,3359.62,386
1750666200,3359.62,3359.7,3357.87,3358.64,439
1750666500,3358.62,3359.51,3356.94,3358.11,577
1750666800,3358.11,3358.11,3354.49,3354.98,641
1750667100,3354.98,3356.05,3354.46,3355.01,564
1750667400,3355.01,3355.96,3351.08,3351.9,989
1750667700,3351.88,3351.88,3347.03,3349.82,1190
1750668000,3349.97,3353.54,3349.84,3353.22,723
1750668300,3353.26,3356.31,3353.26,3356.31,730
1750668600,3356.31,3357.39,3354.89,3356.72,741
1750668900,3356.7,3356.87,3355.06,3356.77,742
1750669200,3356.77,3359.86,3356.77,3359.6,845
1750669500,3359.6,3359.65,3355.45,3355.45,753
1750669800,3355.52,3356.61,3354.74,3356.47,851
1750670100,3356.46,3357.99,3354.84,3354.89,786
1750670400,3354.89,3355.68,3354.27,3354.78,727
1750670700,3354.78,3356.65,3353.94,3354.99,758
1750671000,3355.01,3357.04,3354.28,3356.21,666
1750671300,3356.21,3356.25,3352.96,3354.37,706
1750671600,3354.37,3354.44,3352.62,3353.31,643
1750671900,3353.3,3355.38,3353.04,3355.37,555
1750672200,3355.39,3356.19,3353.36,3355.88,570
1750672500,3355.88,3358.6,3355.29,3357.59,759
1750672800,3357.59,3357.9,3354.3,3354.6,941
1750673100,3354.6,3355.65,3353.37,3355.29,722
1750673400,3355.29,3355.62,3351.59,3352.53,841
1750673700,3352.53,3353.98,3352.25,3353.45,674
1750674000,3353.44,3355.21,3353.39,3354.55,707
1750674300,3354.55,3356.55,3353.49,3356.39,575
1750674600,3356.59,3358.73,3355.65,3355.65,730
1750674900,3355.65,3357.27,3354.57,3354.64,605
1750675200,3354.64,3356.6,3354.14,3355.95,604
1750675500,3355.95,3357.16,3354.96,3356.28,477
1750675800,3356.28,3358.09,3356.28,3357.21,512
1750676100,3357.31,3358.78,3356.71,3357.62,680
1750676400,3357.63,3361.9,3357.63,3361.45,1092
1750676700,3361.56,3362.31,3360.26,3361.31,842
1750677000,3361.22,3361.24,3358.85,3359.73,924
1750677300,3359.73,3360.56,3359.51,3360.24,585
1750677600,3360.24,3362.05,3359.4,3361.96,420
1750677900,3361.71,3361.73,3360.54,3361.3,559
1750678200,3361.17,3361.46,3359.75,3360.11,412
1750678500,3360.11,3362.29,3360.01,3361.49,487
1750678800,3361.52,3361.71,3359.19,3360.22,649
1750679100,3360.22,3362.0,3359.89,3360.82,649
1750679400,3360.8,3360.8,3359.28,3360.44,541
1750679700,3360.44,3361.81,3358.92,3361.8,714
1750680000,3361.78,3364.71,3361.58,3363.2,841
1750680300,3363.2,3364.8,3362.68,3364.67,921
1750680600,3364.67,3368.15,3364.13,3368.11,1017
1750680900,3368.13,3368.76,3365.2,3365.42,880
1750681200,3365.42,3367.03,3365.32,3366.52,705
1750681500,3366.52,3368.96,3364.85,3365.01,821
1750681800,3365.01,3365.81,3362.94,3363.48,1123
1750682100,3363.48,3364.17,3361.83,3362.51,607
1750682400,3362.57,3364.76,3362.49,3364.52,503
1750682700,3364.48,3366.91,3364.47,3366.14,471
1750683000,3366.14,3367.48,3365.78,3366.28,516
1750683300,3366.28,3366.65,3365.11,3366.56,633
1750683600,3366.56,3368.25,3365.13,3366.32,908
1750683900,3366.32,3366.58,3363.97,3364.64,663
1750684200,3364.64,3365.75,3364.24,3365.52,489
1750684500,3365.52,3367.58,3365.41,3367.24,461
1750684800,3367.24,3367.42,3366.08,3366.55,623
1750685100,3366.54,3367.04,3365.72,3367.04,447
1750685400,3367.04,3367.72,3366.56,3367.5,382
1750685700,3367.5,3367.72,3366.51,3367.08,432
1750686000,3367.08,3368.11,3365.98,3366.1,392
1750686300,3366.07,3366.41,3364.74,3366.35,454
1750686600,3366.35,3367.38,3365.75,3366.5,560
